ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,38,28,48,33,54,29,32,30,43,57,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,,,,,,,,,,,,
DZA,Algeria,MENA,MENA,Less Developed,83,85,82,78,86,71,82,82,89,92,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,31,31,32,9,42,6,9,21,43,62,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,76,77,75,,,66,73,79,83,83,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,94,93,95,93,95,90,94,94,95,97,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,58,65,51,57,62,42,54,62,63,73,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,89,89,89,91,87,80,85,92,93,95,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,96,97,94,97,95,96,96,96,96,94,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,29,30,27,24,35,12,19,28,38,51,MICS 2011,2011
BEN,Benin,SSA,WCA,Least Developed,30,28,33,23,42,10,17,25,37,62,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,53,54,52,44,74,27,37,48,66,81,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,95,96,94,95,95,95,96,96,96,94,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,,,,,,,,,,,,
BRA,Brazil,LAC,LAC,Less Developed,85,87,83,80,86,78,85,88,92,95,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,18,17,19,10,43,4,8,12,19,45,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,24,27,21,21,49,8,15,22,28,44,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,50,54,47,48,66,23,41,56,62,74,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,52,53,52,32,72,13,35,53,71,88,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,15,13,17,5,27,2,4,6,17,35,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,13,11,16,8,30,6,8,9,10,34,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,60,61,59,61,60,,,,,,CASEN 2017,2017
