ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,37,26,49,31,55,24,29,29,39,60,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,98,97,98,98,98,95,97,98,99,99,DHS 2017-18,2018
DZA,Algeria,MENA,MENA,Less Developed,57,65,49,47,62,38,49,55,64,78,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,37,32,42,9,47,4,7,24,48,72,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,74,79,70,,,52,69,76,85,95,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,97,99,95,95,99,93,96,96,100,100,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,65,71,59,64,67,43,58,68,71,83,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,98,98,98,98,98,95,99,100,98,97,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,100,100,100,100,100,100,100,100,100,100,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,60,66,55,49,74,32,46,64,80,89,MICS 2015-16,2016
BEN,Benin,SSA,WCA,Least Developed,19,13,25,12,28,4,10,14,21,42,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,39,38,41,29,63,17,19,30,50,76,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,97,97,97,96,98,91,94,99,98,100,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,92,92,92,84,95,,,,,,Botswana Demographic Survey 2017,2017
BRA,Brazil,LAC,LAC,Less Developed,85,89,81,74,87,73,82,89,94,97,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,9,6,13,3,22,1,2,2,5,24,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,22,19,26,19,42,7,11,19,24,40,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,40,39,41,34,66,17,22,36,52,64,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,47,43,52,27,64,9,20,43,60,85,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,11,8,16,3,23,1,2,3,12,34,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,14,10,18,5,36,5,5,5,7,39,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,96,97,94,95,96,,,,,,CASEN 2017,2017
CHN,China,EAP,EAP,Less Developed,93,93,93,88,97,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,78,81,74,57,83,51,71,80,90,95,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,46,45,47,41,57,20,36,48,55,62,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,50,45,56,18,60,7,25,46,65,84,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,73,76,70,68,75,51,63,77,88,91,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,28,22,36,11,42,4,14,25,31,57,MICS 2016,2016
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,96,98,95,95,97,,,,,,MICS 2014,2014
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,100,100,100,100,100,100,,,,,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,54,52,58,39,71,31,38,47,65,84,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,83,89,76,75,85,58,78,88,92,97,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,90,92,89,84,94,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,80,81,79,77,86,70,73,82,84,95,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,73,74,73,59,82,47,65,76,86,96,MICS 2014,2014
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,50,54,47,46,67,25,42,46,64,78,MICS 2014,2014
ETH,Ethiopia,SSA,ESA,Least Developed,21,22,19,11,58,4,7,9,16,55,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,32,33,32,14,35,11,22,29,37,60,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,49,48,50,27,64,27,33,37,56,75,DHS 2013,2013
GEO,Georgia,ECA,EECA,Less Developed,98,98,98,95,99,93,97,98,99,100,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,47,50,45,36,61,23,27,47,65,81,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,48,45,52,35,64,15,27,42,66,85,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,25,20,33,8,46,3,6,11,29,55,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,17,16,18,7,31,4,7,6,18,42,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,84,88,80,82,89,66,77,88,92,94,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,35,38,32,23,51,8,18,28,48,65,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,49,52,46,30,67,22,41,52,64,78,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,81,79,82,79,86,59,75,84,90,96,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,62,59,64,47,78,41,52,59,69,81,National Socio-Economic Survey 2018,2018
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,46,47,46,38,50,23,36,41,57,73,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,97,97,97,96,97,90,99,97,98,98,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,87,88,86,89,87,65,81,91,95,98,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,100,100,100,100,100,99,100,100,100,100,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,65,69,61,59,78,36,54,68,78,88,DHS 2014,2014
KIR,Kiribati,EAP,EAP,Least Developed,78,88,69,71,83,62,72,81,82,89,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,99,99,99,99,99,96,100,99,100,99,MICS 2018,2018
