ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period,Population data,,,,,
AFG,Afghanistan,SA,SA,Least Developed,40,56,25,46,23,50,48,49,33,21,DHS 2015,2015,1087,557,530,810,277.2515984,25%
ALB,Albania,ECA,EECA,More Developed,2,2,2,2,2,4,2,2,1,1,DHS 2017-18,2018,34,18,16,14,20.71591736,60%
DZA,Algeria,MENA,MENA,Less Developed,6,6,5,8,4,12,6,5,3,2,MICS 2012-13,2013,956,488,468,262,693.982134,73%
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,88%
AGO,Angola,SSA,ESA,Least Developed,15,17,14,28,10,31,26,16,6,4,DHS 2015-16,2016,1054,531,523,363,690.5166115,66%
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,100%
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,,1,1,1,1,0.366043668,25%
ARG,Argentina,LAC,LAC,Less Developed,2,2,2,,,4,3,0,0,1,MICS 2011-12,2012,747,380,367,61,686.2025493,92%
ARM,Armenia,ECA,EECA,Less Developed,1,1,1,0,1,1,1,2,0,0,DHS 2015-16,2016,43,23,20,16,27.21706261,63%
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,,325,167,158,45,279.1958193,86%
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,,85,44,41,35,49.61039248,58%
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,,179,95,83,79,99.40124181,56%
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,,5,3,2,1,4.129658875,83%
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,,23,12,10,2,20.11286092,89%
BGD,Bangladesh,SA,SA,Least Developed,13,8,18,13,12,19,15,11,11,7,MICS 2019,2019,2916,1489,1427,1848,1068.375088,37%
BRB,Barbados,LAC,LAC,Less Developed,1,1,1,1,1,0,1,2,2,0,MICS 2012,2012,3,2,1,2,0.927554849,31%
BLR,Belarus,ECA,EECA,More Developed,0,0,0,0,0,0,1,0,0,0,MICS 2012,2012,122,63,59,26,95.7300601,79%
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,,132,68,64,3,129.5505929,98%
BLZ,Belize,LAC,LAC,Less Developed,9,9,10,12,4,15,13,9,4,2,MICS 2015-16,2016,8,4,4,4,3.597154504,46%
BEN,Benin,SSA,WCA,Least Developed,41,47,36,48,31,65,52,42,31,18,DHS 2017-18,2018,348,177,172,183,164.7236642,47%
BTN,Bhutan,SA,SA,Least Developed,19,18,20,23,10,35,25,18,10,11,MICS 2010,2010,12,6,6,7,5.017464111,41%
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,,237,121,116,73,164.7276083,69%
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,1,1,1,1,1,4,0,1,0,0,MICS 2011-12,2012,31,16,15,16,15.04476862,48%
BWA,Botswana,SSA,ESA,Less Developed,4,5,4,7,3,,,,,,Botswana Demographic Survey 2017,2017,54,27,27,17,37.62610366,69%
BRA,Brazil,LAC,LAC,Less Developed,1,1,1,1,1,1,1,1,0,0,PNAD 2019,2019,2921,1494,1427,392,2528.704624,87%
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,48%
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,,7,4,3,2,5.515559142,78%
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,,68,35,33,17,50.7422201,75%
BFA,Burkina Faso,SSA,WCA,Least Developed,57,59,56,65,31,77,67,62,49,32,DHS 2010,2010,633,322,311,447,185.9590829,29%
BDI,Burundi,SSA,ESA,Least Developed,29,28,31,31,20,49,35,26,20,22,DHS 2016-17,2017,366,184,182,318,47.68109737,13%
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,,11,5,5,4,7.052324966,66%
KHM,Cambodia,EAP,EAP,Least Developed,25,25,26,26,20,40,29,24,17,15,DHS 2014,2014,354,180,174,271,82.73720114,23%
CMR,Cameroon,SSA,WCA,Less Developed,19,22,16,28,10,40,27,16,10,5,DHS 2018,2018,766,387,379,334,431.7252504,56%
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,,393,201,192,73,320.1616755,81%
CAF,Central African Republic,SSA,WCA,Least Developed,32,43,20,41,21,52,44,38,25,15,MICS 2010,2010,141,71,70,83,58.52052688,41%
TCD,Chad,SSA,WCA,Least Developed,42,49,36,49,21,50,48,49,49,17,DHS 2014-15,2015,524,263,261,403,120.7171555,23%
CHL,Chile,LAC,LAC,Less Developed,1,1,0,0,1,,,,,,CASEN 2017,2017,253,129,124,31,221.3435412,88%
CHN,China,EAP,EAP,Less Developed,3,3,3,4,3,,,,,,National Population Sample Survey 2015,2015,17423,9285,8138,7117,10306.02798,59%
COL,Colombia,LAC,LAC,Less Developed,4,3,4,6,3,8,3,3,1,1,DHS 2015,2015,738,378,361,142,596.359647,81%
COM,Comoros,SSA,ESA,Least Developed,14,14,15,16,11,27,16,13,9,8,DHS 2012,2012,23,12,12,17,6.790630408,29%
COG,Congo,SSA,WCA,Less Developed,7,8,6,10,5,14,10,8,2,2,MICS 2014-15,2015,157,79,78,52,105.2938468,67%
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,75%
CRI,Costa Rica,LAC,LAC,Less Developed,3,3,2,3,2,4,2,3,3,0,MICS 2018,2018,72,37,35,15,56.83566851,79%
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,33,38,27,40,26,50,37,33,25,22,MICS 2016,2016,41,21,20,20,20.6130349,51%
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,,127,65,62,55,72.29439047,57%
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,,,,13,7,7,3,10.36298551,77%
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,,109,56,53,36,72.72517553,67%
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,,747,375,371,196,550.9403502,74%
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,0,0,0,0,0,,,,,,MICS 2017,2017,336,172,164,128,207.9883166,62%
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,17,18,16,21,12,28,17,17,16,8,MICS 2017-18,2018,2839,1432,1407,1577,1262.175558,44%
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,,58,30,28,7,50.6840079,88%
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,,20,10,10,4,15.64330871,78%
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,,,,,0,0,70%
DOM,Dominican Republic,LAC,LAC,Less Developed,3,3,4,2,4,7,4,2,2,1,MICS 2014,2014,200,102,98,38,162.4808237,81%
ECU,Ecuador,LAC,LAC,Less Developed,6,5,7,8,5,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019,325,166,159,118,207.6039038,64%
EGY,Egypt,MENA,MENA,Less Developed,10,10,10,11,8,15,13,9,9,2,DHS 2014,2014,2579,1329,1250,1477,1101.140934,43%
SLV,El Salvador,LAC,LAC,Less Developed,15,15,14,20,11,28,17,10,7,6,MICS 2014,2014,114,59,56,32,82.43267308,72%
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,,35,18,17,10,24.95205865,72%
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,,94,48,46,57,37.8749158,40%
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,,15,8,7,5,10.25142664,69%
SWZ,Eswatini,SSA,ESA,Less Developed,4,4,5,4,5,6,3,3,7,4,MICS 2014,2014,28,14,14,28,,
ETH,Ethiopia,SSA,ESA,Least Developed,31,31,30,33,22,48,40,28,24,20,DHS 2016,2016,3056,1548,1508,2421,634.4272212,21%
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,,18,9,9,8,10.05655409,56%
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,,61,31,30,9,52.16997884,85%
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,,775,396,379,152,623.3393677,80%
GAB,Gabon,SSA,WCA,Less Developed,3,3,4,5,3,7,4,4,2,1,DHS 2012,2012,58,29,29,6,52.03380314,89%
GMB,Gambia,SSA,WCA,Least Developed,33,35,30,45,23,43,42,44,24,12,DHS 2013,2013,71,36,35,27,43.50263613,61%
GEO,Georgia,ECA,EECA,Less Developed,1,1,2,1,1,2,0,1,2,0,MICS 2018,2018,58,30,28,24,33.93513194,59%
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,,758,390,368,172,585.8104778,77%
GHA,Ghana,SSA,WCA,Less Developed,7,6,8,8,6,15,6,6,4,3,MICS 2017-18,2018,797,407,390,350,446.6565139,56%
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,,91,47,44,19,71.73882141,79%
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,,2,1,1,1,0.659792346,36%
GTM,Guatemala,LAC,LAC,Less Developed,29,34,24,36,18,46,41,30,14,5,DHS 2014-15,2015,396,202,194,194,202.2806283,51%
GIN,Guinea,SSA,WCA,Least Developed,46,54,38,62,26,72,59,57,39,20,DHS 2018,2018,374,188,186,239,135.2260158,36%
GNB,Guinea-Bissau,SSA,WCA,Least Developed,23,26,20,27,18,28,26,27,20,16,MICS 2018-19,2019,57,29,28,32,24.75386808,43%
GUY,Guyana,LAC,LAC,Less Developed,7,6,8,8,4,12,6,7,4,4,MICS 2014,2014,15,8,7,11,3.994971837,27%
HTI,Haiti,LAC,LAC,Least Developed,6,5,7,8,3,14,7,3,3,3,DHS 2016-17,2017,250,127,123,112,138.2932657,55%
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,,,,,0,0,100%
HND,Honduras,LAC,LAC,Less Developed,26,22,30,35,15,37,29,23,13,16,Encuesta Permanente de Hogares 2018,2018,197,101,96,85,112.4666347,57%
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,,89,46,44,26,63.72118664,71%
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,,4,2,2,0,4.184990648,94%
IND,India,SA,SA,Less Developed,7,8,7,8,6,15,7,5,3,1,DHS 2015-16,2016,23274,12203,11071,15354,7919.912439,34%
IDN,Indonesia,EAP,EAP,Less Developed,7,6,8,9,5,11,8,6,5,3,National Socio-Economic Survey 2018,2018,4872,2488,2384,2177,2695.34246,55%
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,,1414,729,685,355,1058.990184,75%
IRQ,Iraq,MENA,MENA,Less Developed,21,28,15,30,17,36,24,19,13,11,MICS 2018,2018,1075,552,522,317,757.2543975,70%
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,,69,35,34,25,43.58983238,63%
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,,168,86,82,13,155.0408133,92%
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,,523,269,253,154,368.087557,70%
JAM,Jamaica,LAC,LAC,Less Developed,1,1,1,1,0,2,1,0,0,0,MICS 2011,2011,47,24,23,21,26.36061645,56%
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,,1071,550,521,90,980.8038746,92%
JOR,Jordan,MENA,MENA,Less Developed,5,5,6,5,5,13,6,3,2,2,DHS 2017-18,2018,232,118,113,21,210.7799829,91%
KAZ,Kazakhstan,ECA,EECA,Less Developed,0,0,0,0,0,0,0,0,0,0,MICS 2015,2015,399,205,194,170,229.1276275,57%
KEN,Kenya,SSA,ESA,Less Developed,3,3,3,4,2,10,2,1,1,1,DHS 2014,2014,1400,705,695,1022,378.4415912,27%
KIR,Kiribati,EAP,EAP,Least Developed,10,5,15,11,9,16,11,11,9,3,MICS 2018-19,2019,3,2,1,1,1.553056252,54%
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,,63,33,30,0,62.989,100%
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1,1,2,1,1,2,1,2,1,1,MICS 2018,2018,155,79,76,99,56.39679078,36%
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,20,22,18,22,15,32,20,18,12,13,MICS 2017,2017,155,79,76,100,54.11568494,35%
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,,19,10,9,6,12.86245114,68%
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,,121,63,58,14,107.1786986,89%
LSO,Lesotho,SSA,ESA,Least Developed,14,9,19,18,7,23,20,13,6,5,MICS 2018,2018,47,23,23,34,13.15412089,28%
LBR,Liberia,SSA,WCA,Least Developed,20,18,21,29,14,38,24,21,15,9,DHS 2013,2013,138,71,68,68,70.82424604,51%
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,,133,68,65,26,106.5003704,80%
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,14%
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,,31,16,15,10,21.12727187,68%
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,,7,3,3,1,5.988392288,91%
MDG,Madagascar,SSA,ESA,Least Developed,36,33,38,40,21,61,47,32,24,12,MICS 2018,2018,747,377,369,469,277.6449784,37%
MWI,Malawi,SSA,ESA,Least Developed,8,8,8,8,5,14,9,8,6,4,DHS 2015-16,2016,554,280,274,460,93.84207632,17%
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,,508,261,246,122,385.9628963,76%
MDV,Maldives,SA,SA,Less Developed,4,4,4,6,0,6,6,4,2,0,DHS 2016-17,2017,8,4,4,5,3.029793344,40%
MLI,Mali,SSA,WCA,Least Developed,59,63,55,68,32,83,77,67,51,29,MICS 2015,2015,635,323,312,366,268.965984,42%
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,,4,2,2,0,4.114685495,95%
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,77%
MRT,Mauritania,SSA,WCA,Least Developed,41,42,40,52,28,62,51,40,31,17,MICS 2015,2015,127,65,63,59,68.38989944,54%
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,,13,7,6,8,5.378183029,41%
MEX,Mexico,LAC,LAC,Less Developed,6,5,7,9,5,,,,,,ENIGH 2018,2018,2247,1149,1098,446,1800.940566,80%
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,,2,1,1,0,0,0%
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,100%
MNG,Mongolia,EAP,EAP,Less Developed,4,3,5,4,4,6,3,5,3,5,MICS 2018,2018,75,38,37,24,51.58799855,68%
MNE,Montenegro,ECA,EECA,More Developed,1,2,1,3,0,6,0,0,0,0,MICS 2018,2018,7,4,4,2,4.87805089,67%
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,9%
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,,698,358,340,262,435.8152338,62%
MOZ,Mozambique,SSA,ESA,Least Developed,33,38,28,41,19,50,49,38,27,13,DHS 2011,2011,936,470,466,599,337.0026766,36%
MMR,Myanmar,EAP,EAP,Least Developed,17,17,16,19,10,30,18,15,9,6,DHS 2015-16,2016,889,448,441,617,271.9219391,31%
NAM,Namibia,SSA,ESA,Less Developed,12,12,11,13,10,16,16,9,13,3,DHS 2013,2013,64,32,32,32,32.02679066,50%
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,100%
NPL,Nepal,SA,SA,Least Developed,4,4,4,5,4,6,7,4,2,1,MICS 2019,2019,545,275,270,438,107.6555275,20%
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,,177,91,86,15,162.3656338,91%
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,,61,31,30,8,52.71353779,87%
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,,133,68,65,55,77.84813298,59%
NER,Niger,SSA,WCA,Least Developed,70,73,67,79,37,90,80,80,72,41,DHS 2012,2012,797,405,392,666,130.9618773,16%
NGA,Nigeria,SSA,WCA,Less Developed,27,29,25,39,11,68,34,17,7,5,DHS 2018,2018,6203,3172,3031,3080,3122.739886,50%
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,45%
MKD,North Macedonia,ECA,EECA,More Developed,2,2,1,0,3,4,3,0,0,0,MICS 2018-19,2019,23,12,11,10,13.55354312,58%
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,,62,32,30,11,50.86881236,82%
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,,79,40,39,12,66.7345346,85%
PAK,Pakistan,SA,SA,Less Developed,27,32,22,31,18,55,31,19,15,7,DHS 2017-18,2018,5313,2759,2554,3365,1947.897589,37%
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,,,,,0,0,80%
