ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,54,40,67,48,71,45,46,43,60,75,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,95,96,94,93,96,93,93,96,94,98,DHS 2017-18,2018
DZA,Algeria,MENA,MENA,Less Developed,93,93,93,90,95,84,94,94,96,99,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,60,57,63,27,74,19,30,61,77,89,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,92,94,91,,,86,92,93,98,95,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,99,99,99,100,99,99,100,98,100,100,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,83,89,76,83,83,70,80,87,87,92,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,99,99,99,99,99,97,98,100,99,100,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,100,100,100,100,100,100,99,100,100,100,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,95,96,95,95,97,89,94,98,100,99,MICS 2015-16,2016
BEN,Benin,SSA,WCA,Least Developed,48,44,51,41,58,21,33,45,58,76,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,69,71,67,60,89,43,55,68,83,90,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,100,100,99,99,100,100,100,98,100,100,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,96,98,95,93,98,,,,,,Botswana Demographic Survey 2017,2017
