ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period,Population data,,,,,
AFG,Afghanistan,SA,SA,Least Developed,37,47,28,42,19,42,47,46,32,16,DHS 2015,2015,1087,557,530,810,277.2515984,25%
ALB,Albania,ECA,EECA,More Developed,2,2,3,4,1,4,3,2,2,1,DHS 2017-18,2018,34,18,16,14,20.71591736,60%
DZA,Algeria,MENA,MENA,Less Developed,2,2,2,2,2,3,2,2,2,1,MICS 2012-13,2013,956,488,468,262,693.982134,73%
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,,,,,0,0,88%
AGO,Angola,SSA,ESA,Least Developed,22,22,21,35,14,39,33,19,12,5,DHS 2015-16,2016,1054,531,523,363,690.5166115,66%
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,,,,,0,0,100%
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,,1,1,1,1,0.366043668,25%
ARG,Argentina,LAC,LAC,Less Developed,1,1,2,0,0,1,0,2,2,1,MICS 2011-12,2012,747,380,367,61,686.2025493,92%
ARM,Armenia,ECA,EECA,Less Developed,5,4,5,6,3,6,7,6,3,2,DHS 2015-16,2016,43,23,20,16,27.21706261,63%
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,,325,167,158,45,279.1958193,86%
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,,85,44,41,35,49.61039248,58%
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,,179,95,83,79,99.40124181,56%
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,,5,3,2,1,4.129658875,83%
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,,23,12,10,2,20.11286092,89%
BGD,Bangladesh,SA,SA,Least Developed,6,5,8,6,6,9,7,5,6,4,MICS 2019,2019,2916,1489,1427,1848,1068.375088,37%
BRB,Barbados,LAC,LAC,Less Developed,1,1,0,1,0,1,0,0,2,0,MICS 2012,2012,3,2,1,2,0.927554849,31%
BLR,Belarus,ECA,EECA,More Developed,0,0,1,0,0,0,0,0,1,0,MICS 2012,2012,122,63,59,26,95.7300601,79%
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,,132,68,64,3,129.5505929,98%
BLZ,Belize,LAC,LAC,Less Developed,2,2,2,3,1,4,4,1,1,0,MICS 2015-16,2016,8,4,4,4,3.597154504,46%
