ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,28,19,37,24,40,17,21,22,33,45,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,,,,,,,,,,,,
DZA,Algeria,MENA,MENA,Less Developed,42,51,34,33,48,23,33,42,50,65,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,30,28,32,7,39,3,6,20,38,61,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,76,79,73,,,59,69,80,85,92,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,85,89,81,83,87,82,82,83,86,92,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,48,53,43,47,53,30,41,51,54,67,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,82,80,84,84,81,83,84,73,83,85,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,88,92,85,88,88,91,89,93,85,83,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,,,,,,,,,,,,
BEN,Benin,SSA,WCA,Least Developed,12,9,15,7,19,2,5,8,12,29,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,24,26,22,15,45,4,7,14,29,58,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,92,93,90,92,91,84,90,91,96,95,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,,,,,,,,,,,,
