ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest,Data source,Time period
AFG,Afghanistan,SA,SA,Least Developed,23,14,32,17,39,11,14,13,23,46,DHS 2015,2015
ALB,Albania,ECA,EECA,More Developed,78,80,76,69,83,56,71,78,86,94,DHS 2017-18,2018
DZA,Algeria,MENA,MENA,Less Developed,29,37,22,23,33,17,20,27,33,50,MICS 2012-13,2013
AND,Andorra,ECA,WE,More Developed,,,,,,,,,,,,
AGO,Angola,SSA,ESA,Least Developed,19,15,24,4,25,1,2,6,20,50,DHS 2015-16,2016
AIA,Anguilla,LAC,LAC,Not Classified,,,,,,,,,,,,
ATG,Antigua and Barbuda,LAC,LAC,Less Developed,,,,,,,,,,,,
ARG,Argentina,LAC,LAC,Less Developed,49,53,46,,,29,41,43,59,78,MICS 2011-12,2012
ARM,Armenia,ECA,EECA,Less Developed,75,79,69,61,85,55,68,75,86,87,DHS 2015-16,2016
AUS,Australia,EAP,EAP,More Developed,,,,,,,,,,,,
AUT,Austria,ECA,WE,More Developed,,,,,,,,,,,,
AZE,Azerbaijan,ECA,EECA,Less Developed,,,,,,,,,,,,
BHS,Bahamas,LAC,LAC,Less Developed,,,,,,,,,,,,
BHR,Bahrain,MENA,MENA,Less Developed,,,,,,,,,,,,
BGD,Bangladesh,SA,SA,Least Developed,29,27,32,28,35,12,20,27,33,50,MICS 2019,2019
BRB,Barbados,LAC,LAC,Less Developed,94,97,91,97,92,88,93,94,97,97,MICS 2012,2012
BLR,Belarus,ECA,EECA,More Developed,92,94,91,90,93,78,92,94,96,97,MICS 2012,2012
BEL,Belgium,ECA,WE,More Developed,,,,,,,,,,,,
BLZ,Belize,LAC,LAC,Less Developed,49,51,48,41,60,18,34,50,70,74,MICS 2015-16,2016
BEN,Benin,SSA,WCA,Least Developed,8,5,12,4,15,1,2,4,6,25,DHS 2017-18,2018
BTN,Bhutan,SA,SA,Least Developed,21,18,25,15,35,6,9,13,23,53,MICS 2010,2010
BOL,Bolivia (Plurinational State of),LAC,LAC,Less Developed,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,92,92,92,90,97,71,90,93,97,98,MICS 2011-12,2012
BWA,Botswana,SSA,ESA,Less Developed,61,66,55,37,70,,,,,,Botswana Demographic Survey 2017,2017
BRA,Brazil,LAC,LAC,Less Developed,70,75,65,50,73,47,61,75,82,94,PNAD 2019,2019
VGB,British Virgin Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
BRN,Brunei Darussalam,EAP,EAP,Less Developed,,,,,,,,,,,,
BGR,Bulgaria,ECA,EECA,More Developed,,,,,,,,,,,,
BFA,Burkina Faso,SSA,WCA,Least Developed,4,2,6,0,11,0,0,0,0,12,DHS 2010,2010
BDI,Burundi,SSA,ESA,Least Developed,4,3,4,1,14,0,0,1,3,10,DHS 2016-17,2017
CPV,Cabo Verde,SSA,WCA,Less Developed,,,,,,,,,,,,
KHM,Cambodia,EAP,EAP,Least Developed,20,20,20,13,48,5,6,11,20,48,DHS 2014,2014
CMR,Cameroon,SSA,WCA,Less Developed,23,21,26,7,33,1,4,10,24,52,DHS 2018,2018
CAN,Canada,NA,NA,More Developed,,,,,,,,,,,,
CAF,Central African Republic,SSA,WCA,Least Developed,7,6,8,1,14,0,1,2,6,22,MICS 2010,2010
TCD,Chad,SSA,WCA,Least Developed,10,6,15,2,26,1,2,3,3,27,DHS 2014-15,2015
CHL,Chile,LAC,LAC,Less Developed,86,88,83,78,87,,,,,,CASEN 2017,2017
CHN,China,EAP,EAP,Less Developed,65,67,63,42,77,,,,,,National Population Sample Survey 2015,2015
COL,Colombia,LAC,LAC,Less Developed,74,78,69,47,81,40,64,75,89,95,DHS 2015,2015
COM,Comoros,SSA,ESA,Least Developed,28,32,24,20,43,4,21,27,32,49,DHS 2012,2012
COG,Congo,SSA,WCA,Less Developed,23,19,28,3,29,0,4,13,27,54,MICS 2014-15,2015
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,58,60,56,52,60,25,44,62,72,86,MICS 2018,2018
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,16,15,17,3,25,2,3,8,13,40,MICS 2016-17,2017
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,86,86,85,83,86,,,,,,MICS 2014,2014
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,100,100,100,100,100,100,,,,,MICS 2017,2017
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,31,27,36,12,47,8,9,17,30,64,MICS 2017-18,2018
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,57,66,48,43,62,25,43,57,71,89,MICS 2014,2014
ECU,Ecuador,LAC,LAC,Less Developed,79,79,78,67,85,,,,,,GEPH-ENEMDU-DICIEMBRE - 2019,2019
EGY,Egypt,MENA,MENA,Less Developed,42,41,43,33,57,26,28,35,46,73,DHS 2014,2014
SLV,El Salvador,LAC,LAC,Less Developed,35,36,34,20,45,9,22,31,43,71,MICS 2014,2014
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,32,33,31,28,43,12,19,33,35,56,MICS 2014,2014
ETH,Ethiopia,SSA,ESA,Least Developed,12,14,11,5,39,2,2,4,7,34,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,14,14,14,4,15,0,4,10,14,36,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,30,28,33,13,40,11,15,21,31,50,DHS 2013,2013
GEO,Georgia,ECA,EECA,Less Developed,81,83,79,68,88,56,75,85,87,96,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,10,9,12,4,16,1,2,5,8,30,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,26,25,27,15,41,3,8,20,35,60,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,16,13,22,2,33,0,2,2,12,45,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,11,8,14,4,19,3,2,7,12,23,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,56,64,49,53,66,26,38,61,71,79,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,17,16,17,8,26,1,6,8,17,40,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,32,35,29,17,44,7,20,26,38,63,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,43,40,46,36,56,13,25,38,53,76,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,38,37,40,21,57,17,25,33,44,64,National Socio-Economic Survey 2018,2018
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,44,43,45,40,46,23,33,37,57,67,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,82,83,80,82,82,62,84,80,91,93,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,56,63,49,48,57,24,38,54,68,82,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,95,96,95,93,97,89,94,96,97,99,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,41,38,44,27,56,11,21,32,48,69,DHS 2014,2014
